Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
34	0	-51.86859	-80.84957	28.98097	19.64709	1.429472	0.0212251	0.096356	0.0389755	0.0343945	0.0596768	0.171044	0.00828872	0.0270467	0.06519844	0.04996879	0.129709	0.0495654	0.00385036	0.0899712	0.0285376	0.185936	0.00679148	0.0505514	0.140726	0.0375509	0.0262395	0.0897018	0.00237425	0.154314	0.00418117	2.770833e-05	19.64709	0.214219	0.57638	1.046	2.1634	0.0201337	0.448987	0.00308626	0.245273	0.257582	0.0249378	0.04999649	0.0005542054
35	0	-49.73869	-81.80522	32.06653	394.9448	1.830226	0.00227326	0.00343922	0.0330393	0.00512464	0.0082885	0.0364587	0.00834612	0.000328962	0.01219116	0.006798727	0.0291319	0.000742506	0.0468805	0.099155	0.0685717	0.134902	0.0530244	0.0268473	0.0614444	0.0933406	0.0176657	0.0100771	0.011567	0.209634	0.137016	0.001653026	394.9448	0.27213	0.635654	1.0651	2.02712	0.0669947	0.333738	0.00377183	0.167306	0.332287	0.0959021	0.008451753	0.1955838
36	0	-60.76048	-82.45477	21.69429	26.92176	3.628447	0.0647619	0.0144422	0.00114115	0.0322779	0.11025	0.0813168	0.242809	0.145264	0.08903114	0.04003058	0.115761	0.0590102	0.135188	0.106946	0.0434386	0.0684923	0.0430936	0.0164413	0.010847	0.00607441	0.0204149	0.00137781	0.0228078	0.317996	0.0321099	0.01437731	26.92176	0.432708	0.761294	1.08425	1.72175	0.0628234	0.321723	0.0104014	0.208012	0.318356	0.0786846	0.0544079	0.2642505
37	0	-65.73413	-87.29139	21.55726	30.00247	0.8708831	0.143995	0.0316371	0.00111806	0.124026	0.0322899	0.386326	0.0119768	0.105472	0.0767159	0.05253368	0.295318	0.028851	0.00407179	0.074682	0.125809	0.0117824	0.040668	0.0102445	0.00830448	0.0362015	0.201669	0.0132925	0.0242353	0.114034	0.010836	0.01716377	30.00247	0.110528	0.43418	0.974814	2.48048	0.0381231	0.434383	0.012408	0.0973348	0.279702	0.138049	0.06969745	0.2462611
38	0	-71.07462	-82.00381	10.92919	139.7176	3.248273	0.0138106	0.184325	0.113041	0.0756181	0.0359872	0.108992	0.504941	0.103711	0.229434	0.0007637699	0.040283	0.0584084	0.0346765	0.000719435	0.00457688	0.0820608	0.265746	0.0221681	0.0447298	0.00582149	0.0142237	0.0300443	0.0583415	0.304896	0.0333044	0.03387811	139.7176	0.407601	0.744409	1.08349	1.76449	0.0490514	0.477242	0.00862281	0.0918477	0.356785	0.0164508	0.03464188	0.9779524
39	0	-56.33318	-82.94493	26.61174	46.7823	1.588736	0.0105804	0.00940201	0.0165471	0.0110281	0.0687782	0.158044	0.0559392	0.00819997	0.06895202	0.03051339	0.0817239	0.00933743	0.00865738	0.0745776	0.047591	0.246292	0.0115891	0.0154183	0.0147012	0.168674	0.0632127	0.00751912	0.0232836	0.162327	0.0650959	0.01790076	46.7823	0.23871	0.60269	1.05523	2.10337	0.0018043	0.435537	0.00267995	0.20006	0.296249	0.0636698	0.04841415	0.3697423
40	0	-62.1658	-79.36009	17.19429	86.93117	1.591347	0.0891486	0.0804299	0.134777	0.0878527	0.0329416	0.0128759	0.425866	0.046141	0.1706996	0.006771672	0.0741084	0.103028	0.0116188	0.139223	0.011656	0.196151	0.0204284	0.00757965	0.0130891	0.112222	0.0225166	0.0429479	0.0152594	0.175787	0.0543854	0.02027273	86.93117	0.239095	0.603087	1.05536	2.10245	0.0236509	0.426841	0.00183258	0.179104	0.321955	0.0466164	0.02704441	0.7496091
41	0	-56.19788	-83.49901	27.30113	29.74162	0.9585333	0.0344507	0.0224359	0.0702172	0.0782335	0.00540359	0.137522	0.0191541	0.00954634	0.08142875	0.008073752	0.26728	0.101956	0.0675245	0.0186519	0.071112	0.0107798	0.0272949	0.0396978	0.0584724	0.0879045	0.0021801	0.0711542	0.00386748	0.147327	0.0247963	0.0238051	29.74162	0.128608	0.463923	0.992774	2.4147	0.0313129	0.599874	0.00890116	0.0911637	0.232053	0.0366951	0.03187885	0.7467364
42	0	-67.72467	-85.44808	17.72341	7.558009	2.948586	0.0764503	0.0975929	0.125754	0.0165563	0.307599	0.269189	0.384165	0.118006	0.2137131	0.07110911	0.0773712	0.13297	0.0437865	0.0696168	0.105173	0.000321969	0.00174381	0.00566287	0.0557953	0.22824	0.00682667	0.0509536	0.0198994	0.200728	0.000910751	0.04467506	7.558009	0.385245	0.728641	1.08225	1.80386	0.0464333	0.465417	0.00335122	0.228504	0.217069	0.0392247	0.1157842	0.3858478
43	0	-60.58552	-83.50234	22.91681	35.81704	1.726523	0.0272761	0.0424664	0.0493359	0.0567287	0.0714887	0.0674848	0.180697	0.0255686	0.03423025	-0.00899973	0.0953007	0.146713	0.00189472	0.0293847	0.0184286	0.0610227	0.151376	0.0418245	0.0780142	0.100324	0.0550533	0.0362899	0.0337041	0.134171	0.0164978	0.04334754	35.81704	0.258292	0.622379	1.06136	2.05797	0.0893945	0.374696	0.000901113	0.153346	0.348627	0.0330348	0.03434781	1.262018
44	0	-57.68833	-91.54621	33.85788	71.41119	1.4734	0.0241582	0.0211156	0.00321	0.00858967	0.00848764	0.06592	0.00587206	0.013849	0.0264591	0.01933979	0.0867742	0.111732	0.0465465	0.100137	0.0159652	0.0414603	0.0166202	0.050302	0.0855315	0.0751811	0.0372143	0.107644	0.0951436	0.0264899	0.103258	0.006162074	71.41119	0.221184	0.584068	1.04882	2.14593	0.021926	0.51879	0.0248732	0.0623978	0.353005	0.0190078	0.02550187	0.2416323
45	0	-72.35643	-87.03469	14.67825	13.34217	1.91677	0.129229	0.148253	0.238424	0.0951488	0.127414	0.188832	0.954686	0.164336	0.2573742	0.115373	0.0527205	0.0172174	0.123725	0.0433765	0.0656661	0.0229794	0.0534251	0.00426755	0.00512222	0.0334832	0.0831595	0.145466	0.133669	0.162245	0.0534774	0.009448903	13.34217	0.283133	0.645861	1.06776	2.00325	0.0183737	0.407381	0.00221938	0.177595	0.31835	0.0760814	0.1248219	0.07569906
46	0	-64.26275	-87.93502	23.67227	185.2943	0.9018407	0.013282	0.0639999	0.0402588	0.0112474	0.0330841	0.188086	0.043851	0.00535496	0.039545	0.003068577	0.0647795	0.130844	0.14973	0.00924841	0.162619	0.039555	0.0162928	0.0210765	0.00317672	0.178786	0.00393087	0.0401873	0.045357	0.0431496	0.091268	0.005186173	185.2943	0.116976	0.44512	0.98162	2.45628	0.0224911	0.442	0.00557555	0.14366	0.320372	0.0659016	0.00825475	0.6282653
47	0	-46.84581	-80.27963	33.43382	189.9301	1.713179	0.0137188	0.00155034	0.00191214	0.0230826	0.00165739	0.0118791	0.0409326	0.00122163	0.01489365	0.005126118	0.117672	0.147535	0.0961113	0.259682	0.0311303	0.00938743	0.0188769	0.0131073	0.0394446	0.0458443	0.0436482	0.0133881	0.0142442	0.123263	0.0266656	0.008008199	189.9301	0.256457	0.62058	1.06082	2.06214	0.0236747	0.381787	0.0081498	0.175814	0.392275	0.0182991	0.01313432	0.6097157
