Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
40	0	-265.5349	-251.3786	-14.15626	80.42275	1.541057	0.03523397	0.02032465	0.014259	0.273062	0.111819	0.0208122	0.0476503	0.0117116	0.06389	0.000956844	0.085203	0.0443137	0.0739771	0.0724964	0.140902	0.00585987	0.0330875	0.01832642	80.42275	0.231596	0.595251	1.05274	2.12041	0.236252	0.243284	0.0905607	0.0834212	0.22282	0.123663	0.03865107	0.4741503
41	0	-251.9269	-245.8014	-6.12547	14.00859	2.574293	0.2277604	0.1196079	0.017357	0.0288865	0.115298	0.0230499	0.043707	0.0147718	0.0359998	0.000573649	0.0151479	0.034727	0.0860337	0.0076777	0.335861	0.230498	0.0104103	0.05051334	14.00859	0.353389	0.704854	1.07942	1.86233	0.22979	0.284988	0.075709	0.084333	0.199008	0.126172	0.1701212	0.2969255
42	0	-263.7907	-260.7117	-3.078974	6.994921	2.936236	0.2176471	0.2352606	0.0133545	0.0474957	0.163564	0.0137987	0.335475	0.0455603	0.0210198	0.0459003	0.0619279	0.00605595	0.00839608	0.0109548	0.0644008	0.0708377	0.091259	0.0169953	6.994921	0.384268	0.727935	1.08218	1.80561	0.183715	0.274582	0.140917	0.128957	0.125767	0.146062	0.2522559	0.06737323
43	0	-262.0818	-254.5096	-7.572185	26.03912	2.139663	0.1547309	0.05019876	0.0699131	0.0270909	0.0217842	0.0278566	0.0720483	0.128594	0.0468961	0.0114285	0.0201673	0.0228017	0.231498	0.0696019	0.120538	0.120457	0.00932545	0.04657138	26.03912	0.309395	0.669088	1.07312	1.9484	0.231451	0.246637	0.111594	0.106663	0.186747	0.116908	0.09677014	0.4812578
44	0	-257.8984	-250.6807	-7.21769	28.38393	1.709766	0.09969206	0.0659027	0.0607436	0.00252731	0.0866419	0.0434683	0.0854988	0.0628984	0.0874161	0.00973926	0.0447363	0.0461397	0.188033	0.167325	0.0950595	0.00623213	0.0135408	0.001326638	28.38393	0.255985	0.620117	1.06069	2.06321	0.309099	0.214754	0.0760119	0.0648429	0.187324	0.147968	0.06722934	0.01973302
45	0	-276.0835	-264.9838	-11.09971	41.6072	0.6673297	0.1645179	0.03854515	0.0451415	0.145493	0.0726091	0.0265075	0.0247426	0.0188605	0.054237	0.0968491	0.0162071	0.0136548	0.0572999	0.223726	0.195739	0.00314032	0.00579213	0.01282077	41.6072	0.0672282	0.347699	0.912133	2.67294	0.242914	0.0951587	0.11755	0.0770346	0.285479	0.181863	0.05136592	0.2495968
46	0	-264.6494	-250.4048	-14.2446	28.51256	3.300855	0.1852194	-0.004041131	0.0387918	0.0877031	0.144012	0.189745	0.145596	0.0242329	0.0358641	0.0179327	0.0148803	0.0157274	0.023118	0.0136522	0.141675	0.0367936	0.0702756	0.1474285	28.51256	0.411276	0.746933	1.08365	1.75815	0.301914	0.236616	0.142824	0.0742584	0.130528	0.11386	0.1433874	1.028183
47	0	-274.7753	-248.6021	-26.17324	211.4383	5.359742	0.03418807	-0.0005824957	0.0251912	0.0214064	0.254961	0.0399604	0.158909	0.00514496	0.0488611	0.0290701	0.00179286	0.0228889	0.00196714	0.0878777	0.0513865	0.14609	0.104493	0.007987544	211.4383	0.516366	0.812099	1.08263	1.58891	0.198916	0.178987	0.183938	0.0822166	0.176432	0.179511	0.007405049	1.078662
48	0	-276.6277	-256.172	-20.4557	237.7634	1.273526	0.0350152	0.006803785	0.0713753	0.0270265	0.165555	0.0515486	0.157971	0.0368886	0.0330808	0.0279827	0.0298482	0.0440104	0.00610246	0.165824	0.116976	0.0157979	0.0500126	0.01335193	237.7634	0.188125	0.545937	1.0338	2.23213	0.308793	0.0943089	0.14896	0.0575927	0.265479	0.124866	0.02015572	0.6624389
49	0	-264.9251	-247.0902	-17.83483	66.11658	4.877899	0.0864113	0.04162961	0.0311691	0.125024	0.133726	0.0479338	0.0587144	0.0151251	0.0118544	0.00848036	0.0427404	0.216175	0.0675883	0.0720171	0.0466713	0.050851	0.0719302	0.002936286	66.11658	0.496926	0.800975	1.08351	1.61859	0.292761	0.155858	0.144386	0.0956769	0.185231	0.126088	0.04456589	0.0658864
50	0	-261.5716	-247.2377	-14.3339	85.81214	2.263673	0.1053445	0.0196052	0.0455424	0.0348579	0.155191	0.204513	0.0313132	0.0155132	0.060236	0.000566836	0.0886042	0.0587259	0.102439	0.073619	0.0997103	0.014761	0.0144082	0.002174726	85.81214	0.322841	0.680411	1.07538	1.92137	0.342406	0.200567	0.0965931	0.0872554	0.134368	0.13881	0.02177993	0.09985001
51	0	-260.3949	-246.604	-13.7909	26.8138	2.705717	0.1484797	0.1076031	0.0453938	0.00401445	0.180318	0.0479618	0.0644593	0.00360351	0.0750494	0.03345	0.0201207	0.0887907	0.0433044	0.0211131	0.336078	0.0137994	0.0225432	0.04940293	26.8138	0.365132	0.713812	1.08062	1.84044	0.32833	0.164046	0.0903472	0.13745	0.128683	0.151144	0.1570061	0.3146562
52	0	-263.775	-257.4103	-6.364664	25.94419	1.537144	0.1177101	0.05356906	0.00971009	0.0984366	0.0296559	0.033372	0.0776393	0.0687873	0.13555	0.0229633	0.0392946	0.0417478	0.167378	0.169321	0.0961616	0.00232109	0.0076609	0.01384563	25.94419	0.231004	0.594625	1.05253	2.12184	0.230308	0.288923	0.0518319	0.077665	0.201384	0.149888	0.0674147	0.20538
53	0	-264.4294	-257.6181	-6.811225	32.42803	0.975734	0.2311946	0.1017949	0.0104076	0.030585	0.362431	0.0585896	0.145726	0.0369285	0.0410658	0.00682793	0.0770553	0.00528866	0.0245233	0.138208	0.0139246	0.0021701	0.0462689	0.009274743	32.42803	0.132087	0.469335	0.99586	2.40272	0.278536	0.248244	0.0561157	0.112445	0.175238	0.129422	0.1110696	0.08350386
54	0	-261.4819	-246.7521	-14.72977	76.11096	2.610654	0.07050751	0.01172551	0.0289767	0.0874518	0.317495	0.0224089	0.00259423	0.0260664	0.0272861	0.00221037	0.0436446	0.0213713	0.0845833	0.114588	0.174127	0.0380044	0.0091925	0.01997439	76.11096	0.356703	0.707405	1.07978	1.85611	0.217421	0.270969	0.135606	0.0606027	0.124682	0.190719	0.0316999	0.630109
55	0	-267.0071	-257.4351	-9.571919	48.0631	0.6571179	0.1240543	0.03349853	0.0443954	0.0944447	0.140337	0.116965	0.0794872	0.0400758	0.0257396	0.0649707	0.0156576	0.0145317	0.0089854	0.0108643	0.11556	0.223142	0.00484377	0.0001133177	48.0631	0.065063	0.342574	0.907879	2.68448	0.256689	0.201551	0.150562	0.0769111	0.198482	0.115805	0.03361185	0.003371362
56	0	-263.2655	-255.6539	-7.611601	33.2452	1.96369	0.1046188	0.0581394	0.0160961	0.0217994	0.100032	0.051485	0.0854931	0.0463667	0.135087	0.0216261	0.036336	0.12277	0.145129	0.00884608	0.0177705	0.133713	0.0574499	0.002215958	33.2452	0.288901	0.651096	1.06905	1.99095	0.304568	0.267351	0.0900845	0.116944	0.126347	0.0947056	0.06035536	0.03671518
57	0	-259.4622	-245.2861	-14.17607	53.65594	4.867538	0.09129338	0.05948293	0.0130735	0.0172143	0.146801	0.11176	0.0524397	0.0232703	0.0436258	0.0061164	0.0371317	0.0731958	0.0918865	0.0500393	0.142171	0.0305358	0.160738	0.009033243	53.65594	0.496481	0.800716	1.08353	1.61928	0.267964	0.274814	0.0942429	0.0809632	0.161864	0.120152	0.06851617	0.131841
58	0	-263.8773	-247.9082	-15.96915	69.94579	2.005881	0.1254551	-0.003774911	0.0275216	0.0153083	0.0621714	0.189662	0.0257699	0.0266887	0.0811498	0.00457269	0.0109106	0.0767911	0.0188923	0.0721884	0.221158	0.0822259	0.0849892	0.03462642	69.94579	0.293976	0.655638	1.07014	1.98025	0.254512	0.188163	0.120488	0.0844041	0.154642	0.197791	0.03085151	1.122357
59	0	-278.7095	-253.1382	-25.57129	348.4916	2.882863	0.01206815	0.003134213	0.0242078	0.097287	0.177452	0.135058	0.0477389	0.0141636	0.0355563	0.00301871	0.0304656	0.0201251	0.0526176	0.148052	0.0687299	0.103204	0.0423234	0.001142369	348.4916	0.379992	0.724829	1.08187	1.81331	0.286323	0.240597	0.0975016	0.0537877	0.194323	0.127467	0.004276582	0.267122
60	0	-261.7997	-248.0001	-13.79962	97.8159	1.232796	0.2326668	0.03460632	0.00962905	0.0303428	0.377686	0.00723334	0.0331485	0.00212678	0.0538774	0.00257224	0.0530921	0.0888986	0.0350689	0.0708586	0.048334	0.126274	0.060858	0.05578499	97.8159	0.180946	0.53706	1.02994	2.25205	0.272725	0.178318	0.116851	0.074404	0.267099	0.0906026	0.09039131	0.61715
61	0	-269.0806	-251.5669	-17.51369	62.13285	2.600572	0.08052018	0.04086023	0.0333937	0.0497582	0.228662	0.0429656	0.06837	0.139529	0.17991	0.010529	0.00752315	0.0545813	0.00365558	0.0466953	0.0260543	0.00625337	0.10212	0.04013943	62.13285	0.355789	0.706703	1.07968	1.85782	0.302339	0.18682	0.0761907	0.0936642	0.177648	0.163337	0.08099965	0.4955506
62	0	-261.898	-252.7239	-9.174029	49.11691	1.182746	0.2010418	0.03445973	0.033296	0.0538068	0.044332	0.0636061	0.00820849	0.0183945	0.214958	0.0303457	0.172625	0.0194099	0.0885309	0.0867119	0.0750007	0.0876005	0.00317379	0.009621353	49.11691	0.171912	0.525544	1.02473	2.27782	0.269478	0.184948	0.167704	0.0902864	0.138069	0.149515	0.04408109	0.2182649
63	0	-272.9738	-265.8416	-7.132192	29.7337	0.5204204	0.1007074	0.06630452	0.0312916	0.0800184	0.0728032	0.046693	0.121265	0.0350049	0.0157421	0.0030327	0.122543	0.104583	0.0559853	0.0451856	0.100541	0.0947169	0.0705941	0.02430362	29.7337	0.0372321	0.265038	0.834576	2.86315	0.25708	0.170378	0.110127	0.0638073	0.250214	0.148394	0.09060814	0.2682278
