Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
4900	-257.9352	-244.8185	-13.11671	46.66772	1.701582	0.1047892	0.02375807	0.0313054	0.062627	0.046491	0.00247994	0.0775151	0.00538295	0.0097046	0.00349189	0.184642	0.16323	0.0770862	0.026045	0.27176	0.0336583	0.00458075	0.03165153	46.66772	0.254851	0.618999	1.06035	2.0658	0.224176	0.17034	0.191207	0.113726	0.191264	0.109287	0.0554096	0.5712283
5000	-256.4176	-245.8681	-10.54946	25.72222	2.430892	0.1210321	0.07632231	0.026744	0.165531	0.0120375	0.0274154	0.0448073	0.0508709	0.0005167	5.63202e-05	0.0818206	0.0135562	0.0522197	0.109906	0.272159	0.093281	0.049078	0.03713373	25.72222	0.339805	0.694195	1.0778	1.8882	0.201701	0.2626	0.0904592	0.125905	0.196016	0.123318	0.113456	0.3272962
5100	-271.9151	-255.02	-16.89516	133.064	1.416255	0.01783241	0.006074562	0.0129278	0.123267	0.0420719	0.0314479	0.0275212	0.0437539	0.0117709	0.00134477	0.0153268	0.113709	0.190342	0.239169	0.0149034	0.128108	0.00433792	0.002993804	133.064	0.212091	0.573996	1.0451	2.16881	0.221322	0.252883	0.074306	0.102365	0.215686	0.133438	0.009068366	0.3301371
5200	-249.5807	-242.7042	-6.876503	15.29067	2.597889	0.1049598	0.10354	0.0649977	0.102646	0.00946222	0.00958102	0.000103318	0.0239471	0.00812936	0.0108084	0.149589	0.0464903	0.236875	0.00801147	0.238954	0.0901738	0.000231045	0.01217821	15.29067	0.355545	0.706516	1.07966	1.85828	0.218132	0.227416	0.133188	0.129326	0.179793	0.112146	0.1157182	0.1052402
5300	-273.8164	-259.443	-14.37334	106.6069	1.151379	0.08246977	0.01103133	0.0581669	0.00715054	0.0111789	0.00325691	0.00359134	0.0230813	0.0784941	0.0266029	0.0428573	0.143036	0.140779	0.0769495	0.0576678	0.289934	0.037254	0.01337846	106.6069	0.166131	0.51796	1.02116	2.29474	0.314184	0.150324	0.110877	0.0846474	0.20064	0.139328	0.02440979	0.5480775
5400	-262.0713	-249.5504	-12.5209	50.07813	1.467827	0.04400322	0.01357969	0.0388083	0.0562314	0.00659688	0.0571074	0.00950185	0.00413899	0.0770255	0.00109622	0.148788	0.0190262	0.0795832	0.0218002	0.367033	0.0642594	0.049003	0.01658877	50.07813	0.220309	0.583112	1.04848	2.1481	0.240306	0.17053	0.112562	0.054734	0.255961	0.165907	0.03016845	0.5498713
5500	-256.926	-253.7935	-3.132481	10.41876	1.314483	0.1141142	0.1171561	0.0254424	0.108332	0.0910767	0.00232573	0.00205373	0.0108748	0.126374	0.0127043	0.105702	0.110727	0.0954892	0.0171579	0.229076	0.0213201	0.0413437	0.06268856	10.41876	0.19519	0.554452	1.03738	2.21298	0.26675	0.126675	0.128808	0.0555113	0.255325	0.166931	0.1798446	0.3485707
5600	-279.9166	-253.7288	-26.18778	175.5346	1.084486	0.01299649	-0.004439297	0.0267141	0.00537004	0.0378459	0.00515113	0.144513	0.00143031	0.00547306	0.000101911	0.118368	0.0553791	0.0923816	0.0900068	0.17479	0.196536	0.04594	0.03310899	175.5346	0.153496	0.500752	1.0127	2.33305	0.245519	0.20649	0.145137	0.12445	0.157961	0.120442	0.02866969	1.154843
5700	-274.1172	-249.5533	-24.56388	236.5233	1.971982	0.007675839	-0.0009564379	0.0158346	0.205083	0.198703	0.0330405	0.0197958	0.00160587	0.115377	0.000432757	0.0698599	0.0401446	0.099195	0.00589849	0.128978	0.045043	0.0210085	0.006062989	236.5233	0.289907	0.652001	1.06927	1.98882	0.274838	0.270318	0.112357	0.0470581	0.203709	0.0917194	0.005106551	1.187296
5800	-269.1731	-251.9954	-17.1777	51.18435	6.552148	0.03636079	0.0189552	0.0522277	0.00171713	0.173032	0.103981	0.0249042	0.0446323	0.066359	0.00415055	0.0134232	0.106482	0.0229231	0.218858	0.137356	0.0264393	0.00351518	0.004105422	51.18435	0.556059	0.833673	1.08	1.53027	0.229483	0.169375	0.150295	0.0898634	0.137369	0.223615	0.02306063	0.1780273
5900	-256.8008	-246.679	-10.12176	25.95034	2.761901	0.06847248	0.07308117	0.011757	0.0512178	0.134237	0.0463197	0.040912	0.0110145	0.027503	0.00208453	0.0890832	0.0135702	0.403138	0.0614964	0.0534213	0.0528067	0.0014379	0.0005665966	25.95034	0.36996	0.71743	1.08106	1.83155	0.244261	0.276472	0.0806895	0.114444	0.172563	0.11157	0.07364776	0.007693331
6000	-265.2133	-253.3231	-11.89023	21.86164	6.376147	0.06979771	0.09928365	0.0514246	0.0249316	0.0771622	0.0477699	0.127065	0.0100229	0.0260696	9.80343e-06	0.0902417	0.149179	0.0805156	0.0162688	0.148895	0.0670404	0.0834037	0.008991825	21.86164	0.550822	0.83091	1.0804	1.53786	0.332371	0.164773	0.155499	0.0972975	0.157113	0.0929462	0.1082755	0.08304581
6100	-273.3888	-256.0321	-17.35666	112.1013	0.9779521	0.02803011	0.008039679	0.112409	0.142495	0.00962632	0.106294	0.0209728	0.0264982	0.13975	0.00130358	0.0920246	0.105819	0.0089219	0.00626754	0.10551	0.0954944	0.0266137	0.02382928	112.1013	0.132534	0.470023	0.996248	2.40119	0.187253	0.164844	0.119366	0.104843	0.268139	0.155555	0.03186896	0.7477269
6200	-260.3806	-252.3704	-8.010177	25.89085	1.403879	0.08503302	0.07170226	0.0323483	0.133925	0.0528439	0.0495956	0.00124902	0.018297	0.00530962	0.000860801	0.0797537	0.00810656	0.0501439	0.154397	0.125265	0.227507	0.0603975	0.008415857	25.89085	0.210085	0.571734	1.04424	2.17394	0.245082	0.190649	0.14076	0.0580902	0.181472	0.183948	0.08011812	0.1050431
