Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
30	0	-232.3342	-250.8429	18.5087	127.0999	3.706136	0.00866946	0.00236385	0.0158254	0.0315602	0.0867536	0.119502	0.00203082	0.0368058	0.0176108	0.0325342	0.00371156	0.00732633	0.00588674	0.0784708	0.00799068	0.00649737	0.03794457	0.003000024	0.0832173	0.0289565	0.136888	0.116637	0.00380909	0.00541607	0.018362	0.0795241	0.0647355	0.003283	0.0138838	0.0295887	0.219078	0.152168	0.0444527	0.01829614	127.0999	0.437452	0.764392	1.08432	1.71384	0.213196	0.270761	0.16855	0.0526469	0.173001	0.121845	0.02129616	0.8591284
31	0	-245.3502	-249.8566	4.506342	74.34333	7.20506	0.139665	0.0144547	0.192496	0.0141024	0.100448	0.129329	0.0406068	0.0245924	0.0581289	0.142005	0.277581	0.000939491	0.0899922	0.0150324	0.071873	0.00959248	0.1241584	0.01728924	0.0327087	0.0207026	0.151575	0.0129489	0.117722	0.0523841	0.0143192	0.0230585	0.0317515	0.0720329	0.205193	0.153325	0.104048	0.00526727	0.00296414	0.007243073	74.34333	0.57397	0.842939	1.07848	1.50461	0.209173	0.23564	0.0810797	0.156864	0.170105	0.147137	0.02453232	0.2952462
32	0	-238.6173	-247.1062	8.488897	39.3253	2.469669	0.0185871	0.0231431	0.348049	0.0184194	0.307643	0.0336178	0.0156726	0.0265254	0.0746225	0.0678045	0.0854057	0.0681078	0.0861369	0.252684	0.143	0.155433	0.09462524	0.04045378	0.0597036	0.195325	0.0458571	0.0355404	0.0234375	0.00594991	0.0615105	0.0133455	0.0190493	0.0100084	0.052136	0.0119729	0.215276	0.182775	0.0681129	0.004501663	39.3253	0.343562	0.697175	1.07827	1.88099	0.266415	0.161515	0.154101	0.101636	0.193747	0.122586	0.04495544	0.1001361
33	0	-266.3277	-261.918	-4.409697	12.77549	1.111952	0.336853	0.023112	0.630988	0.0461868	0.303767	0.154342	0.618764	0.0345919	0.0018806	0.510871	0.360836	0.204419	0.117489	0.244446	0.420088	0.134369	0.141987	0.02176701	0.0318762	0.00796386	0.0311653	0.0896156	0.0473177	0.0878846	0.0141087	0.0813963	0.138878	0.165868	0.016989	0.00954418	0.0663915	0.121995	0.0890051	0.0273761	12.77549	0.158735	0.507996	1.01633	2.31694	0.368106	0.205311	0.113235	0.0772775	0.153108	0.0829632	0.04914311	0.5570689
34	0	-260.9078	-248.2188	-12.68902	134.7397	1.659761	0.0969754	0.026952	0.170673	0.238906	0.116523	0.000709786	0.366556	0.0879327	0.389392	0.428152	0.0865989	0.337869	0.773773	0.458697	0.0207463	0.232151	0.1879438	0.01258551	0.12947	0.0453448	0.318535	0.0937004	0.0503922	0.041773	0.0463833	0.014036	0.00360673	0.00107346	0.134231	0.00908694	0.00840703	0.0597974	0.0441618	0.07239505	134.7397	0.248981	0.613155	1.05857	2.07929	0.309597	0.173255	0.0792328	0.139466	0.165993	0.132457	0.08498056	0.8519013
35	0	-242.9158	-241.745	-1.170853	48.91268	3.582333	0.261402	0.490567	0.110917	0.0408609	0.0282782	0.0187091	0.224824	0.205905	0.0108438	0.225899	0.0721147	0.0169351	0.0742147	0.608327	0.138483	0.0810972	0.1744302	0.04032906	0.117639	0.000917109	0.236436	0.0227934	0.100596	0.00905938	0.126302	0.00468135	0.00842636	0.211497	0.0186142	0.00183996	0.114024	0.0112668	0.0159071	0.007743806	48.91268	0.429834	0.759403	1.08419	1.72657	0.260329	0.130433	0.121054	0.0874191	0.220662	0.180102	0.04807287	0.1610847
36	0	-254.612	-249.5661	-5.045846	16.68356	3.674373	0.214319	0.471544	0.247354	0.157905	0.0365231	0.0506303	0.234503	0.331694	0.175445	0.150836	0.433923	0.10729	0.376366	0.981753	0.0127332	0.303521	0.2279556	0.03808925	0.0822564	0.0136659	0.0317763	0.24264	0.173881	0.0188986	0.0219287	0.01797	0.0244867	0.0175866	0.150482	0.00272801	0.157076	0.00711115	0.0375133	0.1092269	16.68356	0.435527	0.763138	1.08429	1.71704	0.230636	0.212401	0.113447	0.101701	0.218932	0.122883	0.1473162	0.7414456
37	0	-257.8856	-253.7549	-4.130697	28.27078	2.592967	0.058073	0.108255	0.686506	0.642506	0.12756	0.0320308	0.586145	0.0498534	0.0963546	0.273291	0.38653	0.175856	0.00611504	0.387447	0.0792652	0.0493193	0.2321756	0.07324253	0.0210579	0.288349	0.0636927	0.0153501	0.00048392	0.00209847	0.0171148	0.0179247	0.0828457	0.111532	0.0781214	0.0475694	0.114279	0.000841081	0.13874	0.009087337	28.27078	0.355097	0.706171	1.07961	1.85912	0.152781	0.259767	0.0764792	0.0612812	0.282282	0.167411	0.08232987	0.1103772
38	0	-235.2979	-252.7731	17.4752	129.5562	2.002555	0.0100493	0.0161266	0.0333044	0.0947378	0.0401435	0.0156277	0.104317	0.0244187	0.0487296	0.00837866	0.0022966	0.00469944	0.0379259	0.081408	0.0269785	0.0996192	0.03170672	0.007543043	0.038668	0.0484546	0.234749	0.0930445	0.0253393	0.00786486	0.00372443	0.020635	0.00753916	0.000472066	0.0978256	0.0187994	0.158204	0.0569367	0.187743	0.002120545	129.5562	0.29358	0.655285	1.07005	1.98108	0.201955	0.19626	0.0578907	0.0963407	0.203214	0.24434	0.009663588	0.2194366
39	0	-245.996	-251.9561	5.960064	21.53787	1.792968	0.0365221	0.573027	0.116827	0.109001	0.16842	0.231088	0.405121	0.0162331	0.0998337	0.126219	0.274599	0.0917629	0.114339	0.045929	0.0743734	0.021023	0.1436629	0.04914405	0.0732597	0.129307	0.118245	0.0378711	0.0648239	0.0092516	0.0256275	0.0716249	0.0069702	0.0585185	0.0178769	0.0594554	0.0925979	0.0523405	0.182229	0.0209948	21.53787	0.267243	0.631023	1.06383	2.03791	0.264982	0.145185	0.108323	0.0582288	0.244786	0.178496	0.07013885	0.299332
