Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
3000	-268.7345	-250.9626	-17.77191	0.4375531	4.436203	0.0175514	0.121763	8.94321e-05	0.00198043	0.0111283	0.580189	0.00848374	0.0885812	0.0326325	0.00384306	0.220984	0.0959185	0.141578	0.152429	0.207784	0.317799	0.1496476	-0.0447881	0.0595776	0.0297426	0.226367	0.050203	0.0340256	0.0079128	0.0909128	0.043069	0.0826398	0.012396	0.085481	0.0885376	0.0630937	0.112947	0.0130942	0.2253309	1	53.98885	0.05405585	0.47683	0.78906	1.08412	1.64999	0.197709	0.234371	0.144018	0.122907	0.144053	0.156942	0.1805428	1.248075
3100	-289.43	-244.5098	-44.92013	2.900992	2.870719	0.374118	0.320303	0.0601697	0.108207	0.468106	0.201011	0.0379682	0.748439	0.52243	2.65801	0.841264	0.201128	1.15236	0.865529	1.11254	0.336746	0.3793399	0.006239394	0.259397	0.00459278	0.111743	0.0243733	0.00172757	0.0323429	0.0426797	0.0603646	0.113395	0.0117483	0.00323178	0.0855415	0.000560536	0.200034	0.0482677	0.1275149	0	52.11588	0.02726625	0.379007	0.724109	1.0818	1.81509	0.250545	0.193263	0.171585	0.15049	0.132814	0.101303	0.1337543	0.9533518
3200	-276.3833	-246.9919	-29.39138	2.122232	2.426291	0.0440328	0.0406863	0.0676268	0.00511514	0.0387697	0.0305529	0.565644	0.195531	0.354711	0.67174	0.0129097	0.046881	0.286215	0.0987358	0.0839746	0.46731	0.1373586	0.0263821	0.0403662	0.00658768	0.278233	0.0911268	0.0317809	0.0113454	0.0645751	0.0202519	0.041521	0.049146	0.137561	0.0451707	0.135282	0.0250124	0.0220402	0.09661515	1	53.93428	0.03867958	0.339355	0.693836	1.07774	1.88907	0.229859	0.234042	0.192957	0.108649	0.141426	0.0930664	0.1229972	0.7855066
3300	-279.5259	-249.1865	-30.33936	0.3887398	2.585609	0.787348	0.581913	0.0456534	0.101184	0.0233769	0.0826562	0.586436	0.133249	0.381579	0.250293	0.105231	0.315098	0.051679	0.0122212	0.231649	0.5189	0.2735481	-0.1032799	0.0414678	0.0100038	0.208228	0.0294362	0.0560435	0.0424135	0.0957764	0.0191926	0.039523	0.202705	0.060425	0.144459	0.0271702	0.0160018	0.00715452	0.2402207	1	54.52056	0.04717384	0.354426	0.705654	1.07954	1.86038	0.193913	0.334271	0.102994	0.120965	0.207597	0.0402597	0.1369408	1.754194
3400	-264.4153	-238.8371	-25.57821	0.3292416	2.692052	0.540541	0.0179642	0.0892623	0.0844013	0.0491699	0.563695	0.12475	0.140253	1.2542	0.0251264	0.528101	0.0725524	0.00900775	0.168661	0.158524	0.232643	0.2418863	0.02471178	0.0682023	0.00471957	0.210953	0.0136755	0.0108181	0.0181692	0.0672333	0.034588	0.10057	0.17258	0.00359647	0.0282107	0.00994612	0.140914	0.115822	0.2055353	2	51.10793	0.07270328	0.36394	0.712914	1.08051	1.84264	0.175552	0.266116	0.12574	0.0930453	0.253543	0.0860036	0.2302471	0.8926728
3500	-252.9068	-234.1341	-18.77267	2.282546	3.026587	0.201979	0.0297858	0.221585	0.0754342	0.100481	0.0729213	0.0308987	0.0652113	0.281496	0.0773323	0.163025	0.0713912	0.158578	0.0238405	0.108386	0.0449125	0.07906993	0.006916311	0.0455261	0.00993999	0.183901	0.0020064	0.0538487	0.0587696	0.0152367	0.0304394	0.100096	0.111057	0.00363526	0.161419	0.0103941	0.0583086	0.155422	0.1388237	2	58.81248	0.03678852	0.391308	0.732989	1.08264	1.79306	0.185868	0.192571	0.168501	0.0830512	0.313939	0.0560696	0.14574	0.9525435
3600	-264.3214	-239.662	-24.65936	4.551089	1.323911	0.121846	0.0414493	0.101115	0.106568	0.162174	0.204897	0.00567155	0.0246079	0.791858	0.109478	0.17875	0.461963	0.014857	0.333343	0.033319	0.258663	0.1274512	-0.03213311	0.0992554	0.0143805	0.139564	0.00134827	0.014466	0.0250877	0.15437	0.0129048	0.042136	0.157081	0.0230179	0.0368112	0.030238	0.100171	0.149168	0.1290233	2	57.18185	0.03978699	0.196795	0.556357	1.03816	2.20869	0.186358	0.197466	0.113528	0.146783	0.286125	0.0697393	0.09689015	1.331645
3700	-265.0121	-242.2195	-22.79257	1.706327	2.298306	0.211041	0.0689648	0.00152129	0.203433	0.0761396	0.00459909	0.285445	0.0779829	0.604595	0.14978	0.0467193	0.0988738	0.199871	0.162463	0.0464857	0.202304	0.169013	-0.0393776	0.13117	0.0153364	0.0276546	0.00100826	0.0715725	0.0416689	0.0758635	0.0187592	0.0498245	0.110814	0.00441637	0.0628503	0.0166651	0.343041	0.0293548	0.1651034	2	59.53886	0.03375556	0.32646	0.683398	1.07593	1.91421	0.19074	0.164643	0.100488	0.149364	0.342489	0.0522759	0.1257258	1.313202
3800	-276.7935	-239.1506	-37.64294	1.269139	6.672941	1.01049	0.00498711	0.165104	0.177232	0.279419	0.0255606	0.00563644	0.0621795	0.498751	0.268187	0.44057	0.430898	0.187317	1.14694	0.00477608	0.28339	0.3829022	-0.03032502	0.16025	0.0153706	0.134542	0.0246261	0.0632797	0.00128144	0.00577064	0.117594	0.0491669	0.0639706	0.0331863	0.0224884	0.0349196	0.0456518	0.227902	0.2617773	2	51.2953	0.04512883	0.559547	0.835499	1.07972	1.52524	0.190093	0.23224	0.179904	0.0934883	0.256057	0.0482186	0.2314523	1.131021
3900	-274.0013	-241.9776	-32.02373	1.454112	4.635937	0.115604	0.0050705	0.183861	0.759091	0.140009	0.216414	0.0445632	0.0738176	0.530901	0.115239	0.121127	0.0499936	0.342294	0.0926453	0.14002	0.306223	0.2469226	-0.03579591	0.0842637	0.00585984	0.0182283	0.0139885	0.125675	0.00547525	0.200562	0.046114	0.169221	0.0340368	0.0137538	0.122688	0.02166	0.100965	0.0375079	0.1741204	1	84.91409	0.03318618	0.486216	0.794679	1.08387	1.63523	0.361601	0.15155	0.123821	0.103834	0.227456	0.0317381	0.1383245	1.258782
