Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
3400	-139.3592	-124.0452	-15.31393	13.83898	0.5380903	0.398117	0.0400784	0.0339996	0.103843	0.0262282	0.0349069	0.00963605	0.0913646	0.27205	0.301721	0.1246496	0.0250388	0.0584045	0.0760617	0.156099	0.00806148	0.0138393	0.0373533	0.101033	0.0843151	0.0678374	0.132856	0.076276	0.0828671	0.0250122	0.00899197	0.070991	0.1898886	0	54.37442	0.05120936	0.0406466	0.276057	0.846121	2.83718	0.11873	0.159365	0.0776818	0.546039	0.0213998	0.076784	0.2149274	0.8835011
3500	-136.8025	-122.7065	-14.09603	9.459414	0.4867313	0.289387	0.34594	0.072318	0.246768	0.231719	0.234223	0.0253168	0.265123	0.0945321	0.0137886	0.1213937	-0.02623011	0.0124068	0.0356139	0.0853235	0.0178916	0.092766	0.193537	0.0441962	0.0264896	0.142251	0.0213496	0.0847627	0.028645	0.0111594	0.113689	0.0899193	0.1333227	0	51.38267	0.07235944	0.0309556	0.243165	0.810368	2.91551	0.0467082	0.236208	0.0570244	0.558607	0.0310542	0.0703984	0.1070925	1.244929
3600	-147.0436	-125.7929	-21.25065	17.52602	0.6211162	0.01198	0.0745657	0.14423	0.174972	0.387557	0.0238304	0.226954	0.290515	0.195614	0.227472	0.1453238	-0.05223017	0.00438817	0.0233905	0.198544	0.0416957	0.0734217	0.0693009	0.0647415	0.011063	0.0818721	0.0857657	0.00742391	0.181559	0.00201623	0.0233389	0.131478	0.218632	0	55.27524	0.03408713	0.0574904	0.323808	0.891721	2.72698	0.0947001	0.235604	0.104017	0.502107	0.007093	0.0564792	0.1664018	1.31388
3700	-132.6246	-119.2819	-13.34268	8.495551	2.01059	0.156405	0.0128595	0.0674939	0.0194023	0.00298979	0.117121	0.0726841	0.156107	0.156979	0.198157	0.1083474	-0.02890641	0.0355023	0.030638	0.0314497	0.0446091	0.00491344	0.140221	0.245794	0.0310231	0.0429324	0.300294	0.0301578	0.00133937	0.00897639	0.0109993	0.0411495	0.2765292	0	52.41076	0.02896438	0.294536	0.656135	1.07025	1.97908	0.143117	0.149639	0.0700642	0.449643	0.102848	0.0846884	0.2476228	1.116736
3800	-139.657	-122.733	-16.92401	28.68293	1.906484	0.102995	0.0941206	0.00896524	0.131305	0.0717158	0.0202164	0.0378572	0.0502127	0.0942654	0.0590434	0.08638731	0.007951579	0.0252707	0.0603147	0.0360818	0.017141	0.0943597	0.00465899	0.0504875	0.0148326	0.00653301	0.214808	0.27054	0.029848	0.0797739	0.0951394	0.000210032	0.05289126	0	67.34126	0.02797326	0.28185	0.644686	1.06746	2.006	0.0925012	0.0805239	0.0514415	0.662759	0.0169803	0.0957939	0.06084284	0.8693095
3900	-128.7786	-123.7987	-4.97992	13.32269	0.6721903	0.143626	0.0403153	0.0361528	0.0592635	0.0923944	0.0247059	0.0462434	0.0558005	0.0785111	0.0265105	0.0760528	-0.01291571	0.00874474	0.229359	0.131451	0.157699	0.105135	0.048722	0.0188611	0.0152736	0.0665627	0.0692829	9.96415e-05	0.0356345	0.0331047	0.0506568	0.0294126	0.1696056	0	51.67369	0.08355154	0.0682608	0.350108	0.91411	2.66752	0.068065	0.257617	0.0531423	0.426402	0.0991071	0.0956668	0.1566899	1.082428
4000	-133.1701	-127.246	-5.924098	12.74478	0.2819016	0.015876	0.0949983	0.0104112	0.0851553	0.180143	0.00570067	0.00305663	0.0127846	0.205898	0.0561428	0.05036226	-0.01770848	0.0896581	0.0145893	0.0645735	0.0477981	0.015386	0.038038	0.15987	0.0451303	0.0223969	0.0774477	0.194054	0.0533554	0.00878405	0.0727481	0.0961705	0.17429	0	51.69481	0.05248229	0.0039423	0.090512	0.564119	3.34143	0.110283	0.138454	0.0904405	0.375988	0.222958	0.0618766	0.1565815	1.113094
4100	-152.2042	-123.423	-28.7812	22.12664	0.3332602	0.724811	0.812203	0.0199356	0.690086	0.306877	0.0709361	0.390633	0.0409815	0.486578	0.0086939	0.256043	-0.05934561	0.0369285	0.0335754	0.00518219	0.0139266	0.0921581	0.0366032	0.042611	0.0200373	0.0898314	0.0131624	0.0271515	0.0245459	0.00504347	0.512917	0.0463258	0.1363439	0	55.29673	0.03235099	0.00837709	0.130495	0.647655	3.21347	0.0680137	0.166037	0.0518177	0.582466	0.0770244	0.0546412	0.07699834	1.770739
4200	-129.3091	-121.6513	-7.657818	9.651141	0.5488368	0.0973163	0.0158337	0.0294355	0.0711233	0.0807299	0.0280073	0.0413518	0.0763834	0.0270546	0.314255	0.08943966	-0.03856891	0.00886585	0.00809957	0.160774	0.103673	0.0125402	0.0364678	0.123892	0.0249174	0.0434999	0.228255	0.0472988	0.0412403	0.0302982	0.0684344	0.0617434	0.2053414	0	50.91626	0.04532954	0.0427584	0.282607	0.85279	2.82184	0.0855343	0.2247	0.118038	0.442032	0.0250754	0.10462	0.1667725	1.231267
4300	-143.6785	-118.9913	-24.6872	7.525517	0.2702478	0.193375	0.194109	1.00462	0.123439	0.0513582	0.247769	0.229053	0.284848	0.259886	0.395811	0.1934392	0.03305817	0.0862194	0.0654392	0.103041	0.118013	0.0135133	0.100669	0.0893536	0.0193672	0.0970711	0.0329213	0.0940617	0.12855	0.00722922	0.0376219	0.00692924	0.1489686	0	59.94056	0.1013766	0.00319261	0.0816539	0.542286	3.37287	0.0819663	0.137489	0.0452266	0.616697	0.0417872	0.0768345	0.1820268	0.8183884
4400	-134.8576	-118.8364	-16.0213	25.88773	0.2587257	0.0332343	0.032173	0.0590852	0.0681892	0.14576	0.0920719	0.0535821	0.182432	0.0932886	0.105847	0.1371813	0.005357142	0.0690339	0.0130547	0.165198	0.104234	0.216917	0.0569296	0.00779098	0.0412937	0.0406468	0.100307	0.0420235	0.00713244	0.00777698	0.0753132	0.0523491	0.07502633	0	64.21369	0.03049043	0.00254361	0.0730599	0.519529	3.40487	0.099074	0.201884	0.0447133	0.503819	0.0784839	0.0720258	0.08038347	0.9333552
4500	-136.0774	-125.7596	-10.31779	12.3631	1.745607	0.0418889	0.100669	0.00871737	0.0443278	0.101178	0.0277306	0.137098	0.0815466	0.0868499	0.00397411	0.0861493	-0.07168417	0.0228017	0.0577533	0.0493249	0.0628253	0.0541194	0.010369	0.0763107	0.0672853	0.0891502	0.144828	0.0455755	0.0743911	0.0521225	0.157022	0.0361215	0.2055157	0	66.39534	0.03646529	0.260894	0.624914	1.06209	2.0521	0.105239	0.218358	0.187744	0.376814	0.0642881	0.0475565	0.1338315	1.53563
4600	-133.4882	-123.1003	-10.38794	12.20693	1.38361	0.140267	0.105969	0.149759	0.0273388	0.0475107	0.0697635	0.044679	0.0649261	0.0559289	0.0607398	0.1333744	0.01535502	0.0917165	0.0110074	0.0456553	0.304631	0.0080977	0.0805119	0.0350543	0.00779187	0.0709738	0.0513864	0.0206522	0.00963204	0.109093	0.0370426	0.116754	0.1359023	0	58.2607	0.04518199	0.20677	0.567963	1.04279	2.18248	0.0862043	0.154554	0.0977139	0.508801	0.0409281	0.111798	0.1512574	0.8984842
