Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
3400	-68.24142	-83.80287	15.56145	3.86745	1.579258	0.127271	0.1373092	0.0854379	0.0564737	0.0544505	0.0618872	0.0823974	0.201321	0.0294533	0.00427048	0.037761	0.14979	0.0155342	0.0565723	0.00650393	0.153121	0.00502646	0.0151905	3.86745	0.237311	0.601238	1.05476	2.1067	0.0440018	0.450896	0.0144248	0.207893	0.247801	0.0349839	0.1524997	0.09961007
3500	-76.4371	-86.51874	10.08164	19.86836	1.264263	0.03496709	0.06134112	0.012003	0.144444	0.0657125	0.0794783	0.0873668	0.0872016	0.0220513	0.00377155	0.0920962	0.0553387	0.0460467	0.103787	0.00892645	0.0867711	0.105004	0.07956868	19.86836	0.186506	0.543956	1.03295	2.23659	0.0156274	0.419924	0.025297	0.21121	0.272909	0.0550323	0.1409098	0.5646781
3600	-71.36909	-86.47354	15.10446	3.761842	0.6827557	0.1293092	0.1266811	0.187626	0.0352216	0.00348559	0.0199041	0.0491163	0.0849765	0.126429	9.03006e-05	0.0427043	0.00818793	0.228309	0.081967	0.00820976	0.0681438	0.0556284	0.1023329	3.761842	0.0705093	0.355279	0.918307	2.65591	0.0828906	0.312671	0.0324094	0.0321738	0.456875	0.0829802	0.229014	0.4468414
3700	-71.16509	-83.27453	12.10944	7.288092	1.920398	0.04222413	-0.004321139	0.0471284	0.0380157	0.0239784	0.0997869	0.0775926	0.168288	0.153393	0.0017179	0.10194	0.0371684	0.0178816	0.0242942	0.0069592	0.197218	0.00463786	0.0921212	7.288092	0.283584	0.646273	1.06786	2.00228	0.0864185	0.338403	0.0303728	0.0911935	0.377307	0.0763059	0.08780006	1.049216
3800	-70.97582	-84.24471	13.26889	5.808713	3.513428	0.04336418	0.03827908	0.071124	0.054515	0.0768894	0.0259503	0.0202907	0.049428	0.298583	0.0272958	0.122364	0.00729402	0.0108663	0.0057746	0.018782	0.128419	0.0824233	0.03109432	5.808713	0.425456	0.756502	1.0841	1.73395	0.0456011	0.434966	0.0103543	0.0346594	0.389853	0.0845661	0.06937341	0.4482167
3900	-70.19715	-84.12334	13.9262	6.908029	1.52522	0.0394509	0.0211999	0.168238	0.0823673	0.0410557	0.00673241	0.00188852	0.0868661	0.0929462	0.00706903	0.119694	0.0786786	0.0590669	0.115564	0.024708	0.0892261	0.025899	0.06585893	6.908029	0.229192	0.592701	1.05187	2.12624	0.0445906	0.418785	0.00135049	0.158421	0.33464	0.0422124	0.08705883	0.7564877
4000	-68.69859	-78.69409	9.995498	63.70313	0.8482218	0.01221744	0.03540469	0.0125657	0.091313	0.0140616	0.00342273	0.0395394	0.214167	0.0388745	0.00455653	0.0220435	0.0421405	0.000202639	0.00830877	0.0106011	0.492037	0.0061652	0.008510502	63.70313	0.105771	0.425847	0.96947	2.49891	0.073967	0.442149	0.00204322	0.140619	0.282391	0.0588304	0.04391519	0.193794
4100	-75.50615	-84.3808	8.874648	31.75101	1.216632	0.04102794	0.002447331	0.137946	0.0479313	0.00501285	0.0938946	0.123929	0.0337624	0.0598108	0.026708	0.00541445	0.104313	0.0747839	0.0329656	0.0289852	0.133114	0.0914275	0.06107622	31.75101	0.178054	0.533416	1.02832	2.26021	0.0328024	0.536882	0.00186453	0.103029	0.287725	0.0376969	0.06352355	0.9614736
4200	-65.8114	-79.66155	13.85015	15.605	1.068435	0.02468367	0.08535514	0.0558608	0.064291	0.1143	0.130104	0.0175127	0.0996252	0.0481023	0.00238039	0.131373	0.0624862	0.0356635	0.0140048	0.0769637	0.142049	0.00528345	0.01181604	15.605	0.150403	0.496397	1.01047	2.34273	0.0498349	0.381454	0.00370184	0.101972	0.430142	0.0328961	0.09717117	0.1216002
4300	-69.57111	-83.09233	13.52122	31.74654	0.4263172	0.01443066	0.02310182	0.0375032	0.0423727	0.00704388	0.160143	0.00879147	0.0829824	0.108643	0.0365118	0.0627173	0.0310647	0.021229	0.0100797	0.0405676	0.326814	0.0235358	0.002002069	31.74654	0.0206869	0.201127	0.758257	3.01993	0.0666406	0.490425	0.0211776	0.124444	0.227599	0.0697144	0.02510389	0.07975135
4400	-71.39465	-83.59086	12.19621	3.419793	4.399017	0.1596216	0.06931832	0.0205109	0.0489548	0.00548513	0.212066	0.0420335	0.165606	0.0910112	0.00990934	0.0619103	0.0710653	0.0466029	0.128854	0.0339873	0.0611966	0.000806675	0.07702839	3.419793	0.475024	0.787968	1.08416	1.65285	0.0155117	0.523089	0.0204753	0.0696932	0.332955	0.0382753	0.1463467	0.5263418
4500	-65.80149	-81.26234	15.46085	1.796061	1.042455	0.1236469	0.267377	0.256347	0.0563645	0.00521068	0.0150487	0.0639337	0.0582059	0.0770329	0.00656055	0.0365923	0.0325491	0.0723143	0.052885	0.009087	0.13862	0.119249	0.07229042	1.796061	0.145346	0.489151	1.00669	2.35881	0.0582225	0.446087	0.0221285	0.0486207	0.386535	0.0384059	0.3396674	0.2128271
4600	-65.30746	-81.9161	16.60865	4.078749	0.933039	0.07619062	0.1452452	0.143408	0.0733222	0.14907	0.0809135	0.029091	0.0666305	0.055295	0.00864887	0.0746922	0.00768643	0.00709716	0.0748878	0.0573138	0.145388	0.0265558	0.004195258	4.078749	0.123407	0.455656	0.987954	2.43298	0.019276	0.352152	0.0278187	0.181078	0.378321	0.0413541	0.1494404	0.02807311
