Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
30	0	-200.9728	-220.4075	19.43478	28.40303	3.692985	0.00349745	0.030205	0.0224705	0.0625453	0.0453468	0.0803899	0.0474407	0.00183697	0.196173	0.0314919	0.0807025	0.012773	0.0820852	0.00987442	0.04505383	0.009067173	0.0231837	0.0757236	0.14686	0.0918799	0.0286661	0.0191215	0.0259497	0.0012097	0.146292	0.0971535	0.189481	0.00347779	0.0878701	0.0448662	0.0182654	0.09438675	28.40303	0.436658	0.763875	1.08431	1.71516	0.15488	0.213288	0.182405	0.051854	0.256169	0.141403	0.1034539	0.9123554
31	0	-184.165	-217.0023	32.83731	92.93859	3.064045	0.0126684	0.000147741	0.00569962	0.0164694	0.0110662	0.00833326	0.0186149	0.0113817	0.0263676	0.00851145	0.00753431	0.0365135	0.0205654	0.021914	0.01178856	0.007775436	0.00567831	0.0681745	0.0329123	0.294634	0.000774411	0.0136837	0.0141716	0.00264821	0.118596	0.0675463	0.221856	0.0149972	0.11973	0.022898	0.00169963	0.002020346	92.93859	0.394157	0.735013	1.08281	1.78802	0.150239	0.157692	0.22396	0.110421	0.224205	0.133484	0.009795782	0.2062466
32	0	-205.8779	-220.1748	14.29687	32.37284	2.472732	0.0434196	0.0652764	0.112964	0.00616004	0.157796	0.0344973	0.0776764	0.00995569	0.089067	0.117275	0.0432127	0.0423534	0.25628	0.045464	0.08855353	0.002071314	0.0259321	0.0366538	0.0090751	0.241517	0.00215738	0.00654091	0.0388127	0.0028292	0.152702	0.0045205	0.102388	0.0463344	0.12177	0.18452	0.0242464	0.0772042	32.37284	0.343856	0.697408	1.07831	1.88043	0.124017	0.1779	0.275381	0.0547782	0.269194	0.0987295	0.07927552	0.973872
33	0	-193.4622	-217.5852	24.12295	45.0324	2.117225	0.00911997	0.0430459	0.0557047	0.00370042	0.0198248	0.0178249	0.122812	0.0186294	0.059702	0.024039	0.0153275	0.0202489	0.000675254	0.149999	0.05191401	0.02565822	0.0102379	0.13349	0.118595	0.214239	0.0281068	9.32837e-05	0.0247232	0.00517642	0.240789	0.0237306	0.0694299	0.00484304	0.0146782	0.0928527	0.0190155	0.01454662	45.0324	0.306878	0.666927	1.07266	1.95353	0.122526	0.162634	0.259974	0.0502188	0.323165	0.0814823	0.04020485	0.3618127
34	0	-199.6106	-220.9701	21.35948	69.8806	2.942363	0.0391113	0.0131909	0.0177299	0.0103844	0.0231473	0.0499055	0.0418128	0.0689764	0.00700361	0.0983066	0.0105405	0.115202	0.00449986	0.0868919	0.04157532	0.01272379	0.00828241	0.237325	0.0784972	0.125264	0.0380907	0.00214465	0.0339355	0.000696659	0.125613	0.0353922	0.0920625	0.00277552	0.147347	0.0467621	0.0258118	0.002324477	69.8806	0.384753	0.728286	1.08222	1.80474	0.126931	0.12421	0.229931	0.101484	0.351751	0.0656927	0.01504827	0.1544681
35	0	-218.0443	-221.8457	3.801332	59.43596	1.310791	0.172778	0.17664	0.0775484	0.0364053	0.423663	0.0307115	0.0985199	0.113722	0.0861413	0.164939	0.231938	0.000412673	0.343569	0.346649	0.1761868	0.05661586	0.0154853	0.0455614	0.0266716	0.382268	0.00815044	0.000224808	0.0490644	0.00885076	0.17045	0.0221095	0.201652	0.0212103	0.0134339	0.0272941	0.00757422	0.008263841	59.43596	0.194559	0.553701	1.03707	2.21467	0.126602	0.168956	0.209122	0.0771322	0.297438	0.120749	0.0648797	0.1273717
36	0	-203.3476	-221.7136	18.36592	28.66943	2.698957	0.199938	0.331348	0.00658102	0.0089926	0.0678498	0.0458605	0.0513661	0.0187846	0.0108986	0.0198412	0.043592	0.031248	0.0460129	0.030128	0.07957513	0.05271495	0.00100566	0.055196	0.0189912	0.190547	0.0055434	0.0017685	0.0202941	0.00177858	0.277396	0.175088	0.140823	0.00690782	0.0640525	0.0320738	0.00853373	0.01147975	28.66943	0.364543	0.713369	1.08056	1.84152	0.135093	0.215127	0.204024	0.0682746	0.250848	0.126633	0.06419471	0.1788271
37	0	-206.6616	-218.6794	12.01773	42.68673	2.002475	0.129134	0.014023	0.116575	0.167514	0.226706	0.272667	0.0889641	0.0951915	0.0835762	0.0572384	0.0131465	0.12206	0.00493694	0.0313743	0.1300316	0.04711924	0.00648932	0.0361613	0.063979	0.347094	0.0108955	0.000974193	0.084188	0.0130358	0.171484	0.112441	0.0675022	0.00809847	0.0426071	0.0232409	0.0118084	0.00712863	42.68673	0.29357	0.655277	1.07005	1.9811	0.168309	0.141142	0.203158	0.0465225	0.347635	0.093234	0.05424787	0.1314085
38	0	-211.6122	-217.5394	5.927236	19.40795	1.986256	0.41345	0.305666	0.0982608	0.0458035	0.0389378	0.0514821	0.387564	0.222308	0.108234	0.158266	0.204993	0.0941201	0.154998	0.0320506	0.1401001	0.1102291	0.00838909	0.175239	0.111435	0.0796619	0.0193816	0.00153498	0.00560159	0.000129617	0.166719	0.109067	0.230978	0.0239182	0.0350306	0.0324057	0.000509255	0.09010973	19.40795	0.291628	0.653544	1.06964	1.98519	0.133073	0.276005	0.162524	0.071261	0.23504	0.122097	0.2003388	0.4497867
39	0	-203.3685	-219.5004	16.13199	16.15619	1.439766	0.0304215	0.0526917	0.0741067	0.14271	0.0170283	0.223169	0.345291	0.104698	0.0128156	0.0511768	0.167083	0.0654004	0.179392	0.0302662	0.0948057	0.1192002	0.0101439	0.0833117	0.0246818	0.357394	0.00228093	0.00742341	0.0252908	0.00101614	0.180976	0.0756672	0.156588	0.0165211	0.0279024	0.00172831	0.0290738	0.0193656	16.15619	0.215866	0.578213	1.04668	2.15924	0.152844	0.136158	0.17748	0.0720506	0.335037	0.12643	0.1385658	0.1397574
